,product,brand,seller,financing_amount,sale_price
126,"Smart Tv 43"" Uhd 4K Samsung 43Au7000",Samsung,Hendel,9945.4,107699.0
127,Smart Tv Philips 32” Led Hd 32Phd6825/77,Philips,Radio Sapienza,4817.61,52170.0
128,"Smart Tv Hyundai 43"" Fhd Hyled-43fhd7a",Hyundai,Etercor,10734.95,116249.0
129,Led Rca 40  S40and-f Smart Full Hd Hdmi/usb/sint Digit/andro,RCA,Torca,6463.19,69990.0
130,Televisor Noblex Smart Tv Dk32x5050pi Led Hd 32 Pulgadas,Noblex,Ceven,5540.57,59999.0
131,"Smart Tv Hisense H5018uh6 Led 4K 50"" 100V/240v",Hisense,Belkiare,13511.1,146312.0
132,Smart Tv 4K 65 Pulgadas Rca And65p7uhd Bluetooth Hdr Android,RCA,Agen,18468.8,199999.0
133,"Smart Tv Hitachi 50"" Uhd 4K Le504ksmart21",Hitachi,Diggit,11478.32,124299.0
134,"Smart Tv Sansei 91Tds2250ui‬pi Led 50"" 4K Uhd Tv",Sansei,Newsan,7849.19,84999.0
135,Tv Led 32 Philips 32Phd682577,Philips,Grupo Nucleo,4801.82,51999.0
136,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
137,"Smart Tv Sansei 91Tds2255uipi Led 4K Uhd 55""",Sansei,Newsan,8772.63,94999.0
138,Lg Nanocell Ai Thinq 4K 65'',LG,Newsan,28626.69,309999.0
139,Smart Tv Philips 32Phd6917 Hd 32 Pulgadas Android Bt Hdr Voz,Philips,Ebox,6211.92,67269.0
140,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
141,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0
142,"Smart Tv Xiaomi Mi Tv P1 43"" Lm",Xiaomi,Etercor,13851.67,150000.0
143,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
144,Smart Tv Samsung 75 Pulgadas Neo Qled 4K Qn75qn85bagczb,Samsung,Ceven,66118.53,715999.0
145,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
146,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
